park_id,park_name,borough,category,water_pixel_count,water_total_area_m2,geometry_area_m2,processing_id,shape_id,point_name,point_id,unique_id,fid,source_id,feature_co,sub_featur,name,status,shape_area,shape_len,fid_2,acquisitio,acres,address,class,communityb,councildis,department,eapply,gisobjid,gispropnum,globalid,jurisdicti,location,mapped,name311,nys_assemb,nys_senate,objectid,omppropid,parentid,permit,permitdist,permitpare,pip_ratabl,precinct,retired,signname,subcategor,typecatego,url,us_congres,waterfront,zipcode,GIS_LOC_ID,UNIT_CODE,GROUP_CODE,UNIT_NAME,UNIT_TYPE,META_MIDF,LANDS_CODE,DATE_EDIT,GIS_NOTES,fid_3,UID,Name_2,Category,Label,Descriptio,Region,County,Source,Original,Updated,Acreage,Total_acre,MID,MasterArea,WebAreaID,created_us,created_da,last_edite,last_edi_1,GlobalID_2,boro_name
408.0,,Staten Island,water,0,0.0,106972.04947435996,408.0_water_Staten Island,876.0,876.0,876.0,408.0,,,,,,,,,295.0,1929-10-25 00:00:00.0000000,332.951,,PARK,503.0,5051.0,R-03,Great Kills Park,100005145.0,R016,27A1A672-41C6-4856-A261-A2F62256CD4A,DPR,"Hylan Blvd., Old Mill Rd., Cedar Grove Ave. bet. Hopkins Ave. and New Dorp La.",True,Great Kills Park,64.0,24.0,6092.0,R016,R-03,T,R-03,R-03,F,122.0,F,Great Kills Park,Large Park,Nature Area,http://www.nycgovparks.org/parks/R016/,11.0,T,10306.0,,GATE,,Gateway,National Recreation Area,,,,Shifted 0.02 miles,,,,,,,,,,,,,,,,,,,,,,Staten Island
408.0,,Staten Island,water,0,0.0,74218.83604134401,408.0_water_Staten Island,888.0,888.0,888.0,408.0,,,,,,,,,295.0,1929-10-25 00:00:00.0000000,332.951,,PARK,503.0,5051.0,R-03,Great Kills Park,100005145.0,R016,27A1A672-41C6-4856-A261-A2F62256CD4A,DPR,"Hylan Blvd., Old Mill Rd., Cedar Grove Ave. bet. Hopkins Ave. and New Dorp La.",True,Great Kills Park,64.0,24.0,6092.0,R016,R-03,T,R-03,R-03,F,122.0,F,Great Kills Park,Large Park,Nature Area,http://www.nycgovparks.org/parks/R016/,11.0,T,10306.0,,GATE,,Gateway,National Recreation Area,,,,Shifted 0.02 miles,,,,,,,,,,,,,,,,,,,,,,Staten Island
408.0,,Staten Island,water,0,0.0,41923.46194609097,408.0_water_Staten Island,901.0,901.0,901.0,408.0,,,,,,,,,295.0,1929-10-25 00:00:00.0000000,332.951,,PARK,503.0,5051.0,R-03,Great Kills Park,100005145.0,R016,27A1A672-41C6-4856-A261-A2F62256CD4A,DPR,"Hylan Blvd., Old Mill Rd., Cedar Grove Ave. bet. Hopkins Ave. and New Dorp La.",True,Great Kills Park,64.0,24.0,6092.0,R016,R-03,T,R-03,R-03,F,122.0,F,Great Kills Park,Large Park,Nature Area,http://www.nycgovparks.org/parks/R016/,11.0,T,10306.0,,GATE,,Gateway,National Recreation Area,,,,Shifted 0.02 miles,,,,,,,,,,,,,,,,,,,,,,Staten Island
7.0,Staten Island-Fountain Cemetery,Staten Island,water,0,0.0,23.008645686941918,7.0_water_Staten Island,14.0,14.0,14.0,7.0,34.0,16250000008.0,2500.0,250000.0,Staten Island-Fountain Cemetery,Unchanged,144930.549375,2020.24897508,44.0,2003-03-04 00:00:00.0000000,0.124,,PARK,501.0,49.0,R-01,Richmond Terrace Cemetery,100004538.0,R154,FE9906A1-65CE-49D8-B543-C2921705632B,DPR,Richmond Ter. bet. Tompkins Ct. and Alaska St.,False,Richmond Terrace Cemetery,61.0,23.0,6120.0,R154,R-01,F,R-01,R-01,F,120.0,F,Richmond Terrace Cemetery,Cemetery,Cemetery,http://www.nycgovparks.org/parks/R154/,11.0,F,10310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staten Island
8.0,Saint Peters Cemetery,Staten Island,water,0,0.0,0.2369798406492195,8.0_water_Staten Island,15.0,15.0,15.0,8.0,37.0,16250000009.0,2500.0,250000.0,Saint Peters Cemetery,Unchanged,676047.985223,4002.34066158,1415.0,1923-09-01 00:00:00.0000000,193.423,1321 VICTORY BOULEVARD,PARK,501.0,49.0,R-01,Clove Lakes Park,100003983.0,R005,A09E7699-8418-46A2-B565-EBE4D6E624E0,DPR,"Forest Ave., Victory Blvd., bet. Clove Rd. and Brookside Ave., Royal Oak Rd.",True,Clove Lakes Park,6163.0,24.0,5039.0,R005,R-01,T,R-01,R-01,F,120.0,F,Clove Lakes Park,Large Park,Community Park,http://www.nycgovparks.org/parks/R005/,11.0,F,1030110310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staten Island
8.0,Saint Peters Cemetery,Staten Island,water,0,0.0,6.92107734000429,8.0_water_Staten Island,16.0,16.0,16.0,8.0,37.0,16250000009.0,2500.0,250000.0,Saint Peters Cemetery,Unchanged,676047.985223,4002.34066158,1415.0,1923-09-01 00:00:00.0000000,193.423,1321 VICTORY BOULEVARD,PARK,501.0,49.0,R-01,Clove Lakes Park,100003983.0,R005,A09E7699-8418-46A2-B565-EBE4D6E624E0,DPR,"Forest Ave., Victory Blvd., bet. Clove Rd. and Brookside Ave., Royal Oak Rd.",True,Clove Lakes Park,6163.0,24.0,5039.0,R005,R-01,T,R-01,R-01,F,120.0,F,Clove Lakes Park,Large Park,Community Park,http://www.nycgovparks.org/parks/R005/,11.0,F,1030110310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staten Island
8.0,Saint Peters Cemetery,Staten Island,water,0,0.0,321.39222332397645,8.0_water_Staten Island,17.0,17.0,17.0,8.0,37.0,16250000009.0,2500.0,250000.0,Saint Peters Cemetery,Unchanged,676047.985223,4002.34066158,1415.0,1923-09-01 00:00:00.0000000,193.423,1321 VICTORY BOULEVARD,PARK,501.0,49.0,R-01,Clove Lakes Park,100003983.0,R005,A09E7699-8418-46A2-B565-EBE4D6E624E0,DPR,"Forest Ave., Victory Blvd., bet. Clove Rd. and Brookside Ave., Royal Oak Rd.",True,Clove Lakes Park,6163.0,24.0,5039.0,R005,R-01,T,R-01,R-01,F,120.0,F,Clove Lakes Park,Large Park,Community Park,http://www.nycgovparks.org/parks/R005/,11.0,F,1030110310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staten Island
8.0,Saint Peters Cemetery,Staten Island,water,0,0.0,1281.8117918007836,8.0_water_Staten Island,18.0,18.0,18.0,8.0,37.0,16250000009.0,2500.0,250000.0,Saint Peters Cemetery,Unchanged,676047.985223,4002.34066158,1415.0,1923-09-01 00:00:00.0000000,193.423,1321 VICTORY BOULEVARD,PARK,501.0,49.0,R-01,Clove Lakes Park,100003983.0,R005,A09E7699-8418-46A2-B565-EBE4D6E624E0,DPR,"Forest Ave., Victory Blvd., bet. Clove Rd. and Brookside Ave., Royal Oak Rd.",True,Clove Lakes Park,6163.0,24.0,5039.0,R005,R-01,T,R-01,R-01,F,120.0,F,Clove Lakes Park,Large Park,Community Park,http://www.nycgovparks.org/parks/R005/,11.0,F,1030110310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staten Island
9.0,St. Mary's of the Assumption Church Cemetery,Staten Island,water,0,0.0,42.466717135157424,9.0_water_Staten Island,19.0,19.0,19.0,9.0,41.0,16250000022.0,2500.0,250000.0,St. Mary's of the Assumption Church Cemetery,Unchanged,39526.6835271,783.556928454,1188.0,1940-01-30 00:00:00.0000000,198.481,,PARK,501502503.0,,R-02,Willowbrook Parkway,100004113.0,R047,B35091AA-1607-4FC6-9584-1CEE04DE617D,DPR,Willowbrook Pkwy. from Walker St. to Hylan Blvd.,True,Willowbrook Parkway,,,6406.0,R047,R-02,F,R-02,R-02,F,120.0,F,Willowbrook Parkway,EXWY,Parkway,http://www.nycgovparks.org/parks/R047/,11.0,F,1.030210303103061e+19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staten Island
10.0,Sailors Snug Harbor Cemetery,Staten Island,water,0,0.0,0.10501503053842697,10.0_water_Staten Island,20.0,20.0,20.0,10.0,43.0,16250000190.0,2500.0,250000.0,Sailors Snug Harbor Cemetery,Unchanged,274047.393352,2499.99411305,548.0,1943-05-26 00:00:00.0000000,9.200000000000001,,PARK,501.0,49.0,R-01,Allison Pond Park,100004382.0,R052,5F92F2D7-877C-4DB7-A95F-DB61B68D107A,DPR,"Prospect Ave., N Randall Ave. and Brentwood Ave.",True,Allison Pond Park,61.0,23.0,5827.0,R052,R-01,F,R-01,R-01,T,120.0,F,Allison Pond Park,Large Park,Nature Area,http://www.nycgovparks.org/parks/R052/,11.0,F,10301.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staten Island
